H  1 6562.80A,H  1 4861.32A,H  1 4340.46A,H  1 4101.73A,He 2 1640.41A,He 2 4685.68A,O  1 6300.30A,O  1 6363.78A,O  1 63.1679m,O  1 145.495m,O  2 3726.03A,O  2 3728.81A,O  3 1660.81A,O  3 1666.15A,O  3 4363.21A,O  3 4958.91A,O  3 5006.84A,O  3 51.8004m,O  3 88.3323m,Ne 3 3868.76A,Ne 3 3967.47A,C  2 157.636m,C  3 1906.68A,C  3 1908.73A,C  4 1548.19A,C  4 1550.78A,N  2 6548.05A,N  2 6583.45A,S  2 6716.44A,S  2 6730.82A,S  3 9068.62A,S  3 9530.62A,U,rho,metal,ssp type,age
2.8097,1.0,0.47446,0.25799,0.0053177,0.00067063,0.0093332,0.0029814,0.0024268,0.00020414,0.46348,0.39941,0.008281,0.024251,0.015845,0.30919,0.9225,0.085282,0.033137,0.072197,0.021913,0.0010597,0.15935,0.10684,0.002617,0.0015397,0.048569,0.14317,0.04371,0.050524,0.056453,0.14181,-3.0,3.0,0.001,single,3.0
2.7945,1.0,0.47526,0.25847,0.0058177,0.00070338,0.0041132,0.0013139,0.00098309,8.2134e-05,0.22186,0.19253,0.024849,0.072775,0.040607,0.64287,1.918,0.14977,0.058632,0.11862,0.036003,0.00045429,0.33361,0.22281,0.021045,0.012949,0.021266,0.062689,0.020984,0.024197,0.071666,0.18002,-2.5,3.0,0.001,single,3.0
2.7764,1.0,0.47595,0.25952,0.0066152,0.00075015,0.0018481,0.00059036,0.00041521,3.4248e-05,0.088229,0.077073,0.046601,0.13649,0.067888,0.91006,2.7152,0.18531,0.072803,0.16284,0.049426,0.00018686,0.5403,0.35956,0.10095,0.057226,0.0083313,0.024559,0.0092431,0.010615,0.07165,0.17998,-2.0,3.0,0.001,single,3.0
2.7597,1.0,0.47686,0.26093,0.008131,0.00085018,0.00090827,0.00029014,0.0001971,1.5929e-05,0.037323,0.032758,0.068636,0.20109,0.092383,1.1004,3.2831,0.20296,0.079232,0.19887,0.060359,8.1243e-05,0.68456,0.45451,0.23866,0.1491,0.0035218,0.010382,0.004223,0.0048361,0.054956,0.13805,-1.5,3.0,0.001,single,3.0
2.7433,1.0,0.47771,0.26197,0.011062,0.0010663,0.00052021,0.00016618,0.00011252,8.8842e-06,0.018991,0.016706,0.086938,0.25485,0.11117,1.2265,3.6592,0.21079,0.080773,0.22432,0.068084,4.1453e-05,0.69588,0.46179,0.34876,0.19776,0.0018067,0.0053257,0.0023278,0.0026646,0.034964,0.087828,-1.0,3.0,0.001,single,3.0
2.7301,1.0,0.47864,0.2626,0.01668,0.0014952,0.00035181,0.00011238,7.6713e-05,5.9419e-06,0.011758,0.010355,0.10259,0.30095,0.12629,1.3164,3.9276,0.21338,0.079663,0.24321,0.073817,2.5829e-05,0.62895,0.41733,0.44402,0.22688,0.0011469,0.0033809,0.001585,0.0018155,0.021715,0.054546,-0.5,3.0,0.001,single,3.0
2.8123,1.0,0.4734,0.26071,0.0025704,0.00033378,0.068158,0.021773,0.031028,0.0030213,0.69345,1.0274,7.8703e-05,0.00023048,0.00024382,0.0092698,0.027657,0.0052813,0.0090233,0.016406,0.0049795,0.16998,0.018533,0.013259,3.0437e-06,1.8162e-06,0.1337,0.39414,0.3242,0.22608,0.028814,0.07238,-4.0,1.0,0.002,single,3.0
2.8042,1.0,0.47408,0.26078,0.0039143,0.00050166,0.038121,0.012177,0.014599,0.001423,0.87905,1.3005,0.0010727,0.0031413,0.0027638,0.081751,0.24391,0.037649,0.063668,0.044829,0.013606,0.11392,0.065583,0.046599,9.8039e-05,6.1231e-05,0.13903,0.40985,0.23832,0.16667,0.057908,0.14546,-3.5,1.0,0.002,single,3.0
2.7947,1.0,0.47467,0.26108,0.0044233,0.00055439,0.02198,0.0070212,0.0076299,0.00074421,0.79615,1.1771,0.0064725,0.018955,0.014454,0.35227,1.051,0.13797,0.2316,0.090876,0.027583,0.072257,0.15867,0.11167,0.0015061,0.0010229,0.10613,0.31287,0.15602,0.10931,0.088521,0.22236,-3.0,1.0,0.002,single,3.0
2.7862,1.0,0.47509,0.26155,0.0046812,0.00057083,0.014404,0.0046011,0.0047194,0.00046065,0.57689,0.85292,0.015257,0.044682,0.031059,0.6687,1.9951,0.23651,0.39499,0.13449,0.040819,0.047596,0.26529,0.18388,0.0075864,0.005916,0.071658,0.21123,0.10407,0.072982,0.10799,0.27126,-2.5,1.0,0.002,single,3.0
